time,cm
20, 27.6458
40, 27.6458
60, 28.0574
80, 28.0574
100, 28.0402
120, 28.5033
140, 28.5033
160, 28.1089
180, 28.0917
200, 28.1089
220, 28.5548
240, 28.9663
260, 28.5548
280, 28.5548
300, 28.5719
320, 28.9663
340, 28.9663
360, 28.0917
380, 28.1089
400, 28.0402
420, 27.5943
440, 27.9373
460, 27.3885
480, 27.2342
500, 27.0798
520, 27.3371
540, 27.1313
560, 26.9255
580, 26.7540
600, 26.1194
620, 26.2738
640, 25.5535
660, 25.1933
680, 24.8332
700, 24.4902
720, 24.0786
740, 24.0786
760, 23.6155
780, 23.1525
800, 22.2435
820, 21.7805
840, 21.2660
860, 20.7515
880, 20.2541
900, 19.6882
920, 19.1908
940, 18.6763
960, 18.1618
980, 17.6988
1000, 17.2872
1020, 16.8927
1040, 16.4811
1060, 16.1210
1080, 15.8123
1100, 15.5722
1120, 15.4007
1140, 15.3492
1160, 15.3492
1180, 15.3492
1200, 15.4007
1220, 15.8637
1240, 16.7727
1260, 17.7502
1280, 17.9046
1300, 17.1843
1320, 17.3386
1340, 17.9046
1360, 18.5220
1380, 19.2251
1400, 19.1737
1420, 19.1908
1440, 19.6367
1460, 20.0483
1480, 20.5114
1500, 21.0087
1520, 21.1117
1540, 21.6776
1560, 22.2435
1580, 22.3293
1600, 22.9467
1620, 23.1525
1640, 24.1644
1660, 24.8332
1680, 25.4506
1700, 25.2448
1720, 25.8622
1740, 26.4796
1760, 27.3371
1780, 27.4400
1800, 27.9545
1820, 28.4004
1840, 28.7605
1860, 29.0692
1880, 28.8634
1900, 29.4808
1920, 29.5323
1940, 29.5323
1960, 29.5323
1980, 30.3383
2000, 30.2869
2020, 30.6470
2040, 31.4531
2060, 31.4188
2080, 28.8634
2100, 29.4808
2120, 28.7091
2140, 28.0059
2160, 28.0574
2180, 27.5943
2200, 26.7197
2220, 26.6854
2240, 26.0508
2260, 24.9361
2280, 24.6960
2300, 23.5126
2320, 23.2554
2340, 22.0892
2360, 21.3689
2380, 20.6143
2400, 20.2884
2420, 19.1394
2440, 18.4706
2460, 18.6763
2480, 17.6473
2500, 17.0814
2520, 16.5840
2540, 16.1210
2560, 16.2239
2580, 15.5036
2600, 15.7094
2620, 15.5550
2640, 15.0577
2660, 15.4521
2680, 15.4521
2700, 15.5036
2720, 16.0181
2740, 16.9956
2760, 17.1843
2780, 17.4415
2800, 17.4072
2820, 17.4072
2840, 18.3676
2860, 18.9336
2880, 19.1222
2900, 19.3281
2920, 19.9969
2940, 20.7686
2960, 21.0602
2980, 21.8319
3000, 22.6037
3020, 23.8213
3040, 24.5759
3060, 24.9875
3080, 25.3991
3100, 26.7197
3120, 26.9769
3140, 27.7830
3160, 28.9149
3180, 30.0468
3200, 30.2011
3220, 31.1615
3240, 36.1522
3260, 34.6773
3280, 33.6140
3300, 33.7683
