time,cm
20, 19.9454
40, 19.9454
60, 19.9454
80, 19.9454
100, 19.9454
120, 19.9454
140, 19.9454
160, 19.9454
180, 19.9454
200, 19.9454
220, 19.9454
240, 19.9454
260, 19.9454
280, 19.9454
300, 19.9454
320, 19.9454
340, 19.9454
360, 19.9454
380, 19.9454
400, 19.9454
420, 19.9454
440, 19.9454
460, 19.9454
480, 19.9454
500, 19.9454
520, 19.9454
540, 19.9454
560, 19.9454
580, 19.9454
600, 19.9454
620, 19.9454
640, 19.9454
660, 19.9454
680, 19.9454
700, 19.9454
720, 19.9454
740, 19.9454
760, 19.9454
780, 19.9454
800, 19.9454
820, 19.9454
840, 19.9454
860, 19.9454
880, 19.9454
900, 19.9454
920, 19.9454
940, 19.9454
960, 19.9454
980, 19.9454
1000, 19.9454
1020, 19.9454
1040, 19.9454
1060, 19.9454
1080, 19.9454
1100, 19.9454
1120, 19.9454
1140, 19.9454
1160, 19.9454
1180, 19.9454
1200, 19.9454
1220, 19.9454
1240, 19.9454
1260, 19.9454
1280, 19.9454
1300, 19.9454
1320, 19.9454
1340, 19.9454
1360, 19.9454
1380, 19.9454
1400, 19.9454
1420, 19.9454
1440, 19.9454
1460, 19.9454
1480, 19.9454
1500, 19.9454
1520, 19.9454
1540, 19.9454
1560, 19.9454
1580, 19.9454
1600, 19.9454
1620, 19.9454
1640, 19.9454
1660, 19.9454
1680, 19.9454
1700, 19.9454
1720, 19.9454
1740, 19.9454
1760, 19.9454
1780, 19.9454
1800, 19.9454
1820, 19.9454
1840, 19.9454
1860, 19.9454
1880, 19.9454
1900, 19.9454
1920, 19.9454
1940, 19.9454
1960, 19.9454
1980, 19.9454
2000, 19.9454
2020, 19.9454
2040, 19.9454
2060, 19.9454
2080, 19.9454
2100, 19.9454
2120, 19.9454
2140, 19.9454
2160, 19.9454
2180, 19.9454
2200, 19.9454
2220, 19.9454
2240, 19.9454
2260, 19.9454
2280, 19.9454
2300, 19.9454
2320, 19.9454
2340, 19.9454
2360, 19.9454
2380, 19.9454
2400, 19.9454
2420, 19.9454
2440, 19.9454
2460, 19.9454
2480, 19.9454
2500, 19.9454
2520, 19.9454
2540, 19.9454
2560, 19.9454
2580, 19.9454
2600, 19.9454
2620, 19.9454
2640, 19.9454
2660, 19.9454
2680, 19.9454
2700, 19.9454
2720, 19.9454
2740, 19.9454
2760, 19.9454
2780, 19.9283
2800, 19.9454
2820, 19.9454
2840, 19.9454
2860, 19.9454
2880, 19.9454
2900, 19.9454
2920, 19.9454
2940, 19.9454
2960, 19.9454
2980, 19.9454
3000, 19.9454
3020, 19.9454
3040, 19.9454
3060, 19.9454
3080, 19.9454
3100, 19.9454
3120, 19.9454
3140, 19.9454
3160, 19.9454
3180, 19.9454
3200, 19.9454
3220, 19.9454
3240, 19.9454
3260, 19.9454
3280, 19.9454
3300, 19.9454
3320, 19.9454
3340, 19.9454
3360, 19.9454
3380, 19.9454
3400, 19.9454
3420, 19.9454
3440, 19.9454
3460, 19.9454
3480, 19.9454
3500, 19.9454
3520, 19.9454
3540, 19.9454
3560, 19.9454
3580, 19.9454
3600, 19.9454
3620, 19.9454
3640, 19.9454
3660, 19.9454
3680, 19.9454
3700, 19.9454
3720, 19.9454
3740, 19.9454
3760, 19.9454
3780, 19.9454
3800, 19.9454
3820, 19.9454
3840, 19.9454
3860, 19.9454
3880, 19.9454
3900, 19.9454
3920, 19.9454
3940, 19.9454
3960, 19.9454
3980, 19.9454
4000, 19.9454
4020, 19.9454
4040, 19.9454
4060, 19.9454
4080, 19.9454
4100, 19.9454
4120, 19.9454
4140, 19.9454
4160, 19.9454
4180, 19.9454
4200, 19.9454
4220, 19.9454
4240, 19.9454
4260, 19.9454
4280, 19.9454
4300, 19.9454
4320, 19.9454
4340, 19.9454
4360, 19.9454
4380, 19.9454
4400, 19.9454
4420, 19.9454
4440, 19.9454
4460, 19.9454
4480, 19.9454
4500, 19.9454
4520, 19.9454
4540, 19.9454
4560, 19.9454
4580, 19.9454
4600, 19.9454
4620, 19.9454
4640, 19.9454
4660, 19.9454
4680, 19.9454
4700, 19.9454
4720, 19.9454
4740, 19.9454
4760, 19.9454
4780, 19.9454
4800, 19.9454
4820, 19.9454
4840, 19.9454
4860, 19.9454
4880, 19.9454
4900, 19.9454
4920, 19.9454
4940, 19.9454
4960, 19.9454
4980, 19.9454
5000, 19.9454
5020, 19.9454
5040, 19.9454
5060, 19.9454
5080, 19.9454
5100, 19.9454
5120, 19.9454
5140, 19.9454
5160, 19.9454
5180, 19.9454
5200, 19.9454
5220, 19.9454
5240, 19.9454
5260, 19.9454
5280, 19.9454
5300, 19.9454
5320, 19.9454
5340, 19.9454
5360, 19.9454
5380, 19.9454
5400, 19.9454
5420, 19.9454
5440, 19.9454
5460, 19.9454
5480, 19.9454
5500, 19.9454
5520, 19.9454
5540, 19.9454
5560, 19.9454
5580, 19.9454
5600, 19.9454
5620, 19.9454
5640, 19.9454
5660, 19.9454
5680, 19.9454
5700, 19.9454
5720, 19.9454
5740, 19.9454
5760, 19.9454
5780, 19.9454
5800, 19.9454
5820, 19.9454
5840, 19.9454
5860, 19.9454
5880, 19.9454
5900, 19.9454
5920, 19.9454
5940, 19.9454
5960, 19.9454
5980, 19.9454
6000, 19.9454
6020, 19.9454
6040, 19.9454
6060, 19.9454
6080, 19.9454
6100, 19.9454
6120, 19.9454
6140, 19.9454
6160, 19.9454
6180, 19.9454
6200, 19.9454
6220, 19.9454
6240, 19.9454
6260, 19.9454
6280, 19.9454
6300, 19.9454
6320, 19.9454
6340, 19.9454
6360, 19.9454
6380, 19.9454
6400, 19.9454
6420, 19.9454
6440, 19.9454
6460, 19.9454
6480, 19.9454
6500, 19.9454
6520, 19.9454
6540, 19.9454
6560, 19.9454
6580, 19.9454
6600, 19.9454
6620, 19.9454
6640, 19.9454
6660, 19.9454
6680, 19.9454
6700, 19.9454
6720, 19.9454
6740, 19.9454
6760, 19.9454
6780, 19.9454
6800, 19.9454
6820, 19.9454
6840, 19.9454
6860, 19.9454
6880, 19.9454
6900, 19.9454
6920, 19.9454
6940, 19.9454
6960, 19.9454
6980, 19.9454
7000, 19.9454
7020, 19.9454
7040, 19.9454
7060, 19.9454
7080, 19.9454
7100, 19.9454
7120, 19.9454
7140, 19.9454
7160, 19.9454
7180, 19.9454
7200, 19.9454
7220, 19.9454
7240, 19.9454
7260, 19.9454
7280, 19.9454
7300, 19.9454
7320, 19.9454
7340, 19.9454
7360, 19.9454
7380, 19.9454
7400, 19.9454
7420, 19.9454
7440, 19.9454
7460, 19.9454
7480, 19.9454
7500, 19.9454
7520, 19.9454
7540, 19.9454
7560, 19.9454
7580, 19.9454
7600, 19.9454
7620, 19.9454
7640, 19.9454
7660, 19.9454
7680, 19.9454
7700, 19.9454
7720, 19.9454
7740, 19.9454
7760, 19.9454
7780, 19.9454
7800, 19.9454
7820, 19.9454
7840, 19.9454
7860, 19.9454
7880, 19.9454
7900, 19.9454
7920, 19.9454
7940, 19.9454
7960, 19.9454
7980, 19.9454
8000, 19.9454
8020, 19.9454
8040, 19.9454
8060, 19.9454
8080, 19.9454
8100, 19.9454
8120, 19.9454
8140, 19.9454
8160, 19.9454
8180, 19.9454
8200, 19.9454
8220, 19.9454
8240, 19.9454
8260, 19.9454
8280, 19.9454
8300, 19.9454
8320, 19.9454
8340, 19.9454
8360, 19.9454
8380, 19.9454
8400, 19.9454
8420, 19.9454
8440, 19.9454
8460, 19.9454
8480, 19.9454
8500, 19.9454
8520, 19.9454
8540, 19.9454
8560, 19.9454
8580, 19.9454
8600, 19.9454
8620, 19.9454
8640, 19.9454
8660, 19.9454
8680, 19.9454
8700, 19.9454
8720, 19.9454
8740, 19.9454
8760, 19.9454
8780, 19.9454
8800, 19.9454
8820, 19.9454
8840, 19.9454
8860, 19.9454
8880, 19.9454
8900, 19.9454
8920, 19.9454
8940, 19.9454
8960, 19.9454
8980, 19.9454
9000, 19.9454
9020, 19.9454
9040, 19.9454
9060, 19.9454
9080, 19.9454
9100, 19.9454
9120, 19.9454
9140, 19.9454
9160, 19.9454
9180, 19.9454
9200, 19.9454
9220, 19.9454
9240, 19.9454
9260, 19.9454
9280, 19.9454
9300, 19.9454
9320, 19.9454
9340, 19.9454
9360, 19.9454
9380, 19.9454
9400, 19.9454
9420, 19.9454
9440, 19.9454
9460, 19.9454
9480, 19.9454
9500, 19.9454
9520, 19.9454
9540, 19.9454
9560, 19.9454
9580, 19.9454
9600, 19.9454
9620, 19.9454
9640, 19.9454
9660, 19.9454
9680, 19.9454
9700, 19.9454
9720, 19.9454
9740, 19.9454
9760, 19.9454
9780, 19.9454
9800, 19.9454
9820, 19.9454
9840, 19.9454
9860, 19.9454
9880, 19.9454
9900, 19.9454
9920, 19.9454
9940, 19.9454
9960, 19.9454
9980, 19.9454
10000, 19.9454
10020, 19.9454
10040, 19.9454
10060, 19.9454
10080, 19.9454
10100, 19.9454
10120, 19.9454
10140, 19.9454
10160, 19.9454
10180, 19.9454
10200, 19.9454
10220, 19.9454
10240, 19.9454
10260, 19.9454
10280, 19.9454
10300, 19.9454
10320, 19.9454
10340, 19.9454
10360, 19.9454
10380, 19.9454
10400, 19.9454
10420, 19.9454
10440, 19.9454
10460, 19.9454
10480, 19.9454
10500, 19.9454
10520, 19.9454
10540, 19.9454
10560, 19.9454
10580, 19.9283
10600, 19.9454
10620, 19.9454
10640, 19.9454
10660, 19.9454
10680, 19.9454
10700, 19.9454
10720, 19.9454
10740, 19.9454
10760, 19.9454
10780, 19.9454
10800, 19.9454
10820, 19.9454
10840, 19.9454
10860, 19.9454
10880, 19.9454
10900, 19.9454
10920, 19.9454
10940, 19.9454
10960, 19.9454
10980, 19.9454
11000, 19.9454
11020, 19.9454
11040, 19.9454
11060, 19.9454
11080, 19.9454
11100, 19.9454
11120, 19.9454
11140, 19.9454
11160, 19.9454
11180, 19.9454
11200, 19.9454
11220, 19.9454
11240, 19.9454
11260, 19.9454
11280, 19.9454
11300, 19.9454
11320, 19.9454
11340, 19.9454
11360, 19.9454
11380, 19.9454
11400, 19.9454
11420, 19.9454
11440, 19.9454
11460, 19.9454
11480, 19.9454
11500, 19.9454
11520, 19.9454
11540, 19.9454
11560, 19.9454
11580, 19.9454
11600, 19.9454
11620, 19.9454
11640, 19.9454
11660, 19.9454
11680, 19.9454
11700, 19.9454
11720, 19.9454
11740, 19.9454
11760, 19.9454
11780, 19.9454
11800, 19.9454
11820, 19.9454
11840, 19.9454
11860, 19.9454
11880, 19.9454
11900, 19.9454
11920, 19.9454
11940, 19.9454
11960, 19.9454
11980, 19.9454
12000, 19.9454
12020, 19.9454
12040, 19.9454
12060, 19.9454
12080, 19.9454
12100, 19.9454
12120, 19.9454
12140, 19.9454
12160, 19.9454
12180, 19.9454
12200, 19.9454
12220, 19.9454
12240, 19.9454
12260, 19.9454
12280, 19.9454
12300, 19.9454
12320, 19.9454
12340, 19.9454
12360, 19.9454
12380, 19.9454
12400, 19.9454
12420, 19.9454
12440, 19.9454
12460, 19.9454
12480, 19.9454
12500, 19.9454
12520, 19.9454
12540, 19.9454
12560, 19.9454
12580, 19.9454
12600, 19.9454
12620, 19.9454
12640, 19.9454
12660, 19.9454
12680, 19.9454
12700, 19.9454
12720, 19.9454
12740, 19.9454
12760, 19.9454
12780, 19.9454
12800, 19.9454
12820, 19.9454
12840, 19.9454
12860, 19.9454
12880, 19.9454
12900, 19.9454
12920, 19.9454
12940, 19.9454
12960, 19.9454
12980, 19.9454
13000, 19.9454
13020, 19.9454
13040, 19.9454
13060, 19.9454
13080, 19.9454
13100, 19.9454
13120, 19.9454
13140, 19.9454
13160, 19.9454
13180, 19.9454
13200, 19.9454
13220, 19.9454
13240, 19.9454
13260, 19.9454
13280, 19.9454
13300, 19.9454
13320, 19.9454
13340, 19.9454
13360, 19.9454
13380, 19.9454
13400, 19.9454
13420, 19.9454
13440, 19.9454
13460, 19.9454
13480, 19.9454
13500, 19.9454
13520, 19.9454
13540, 19.9454
13560, 19.9454
13580, 19.9454
13600, 19.9454
13620, 19.9454
13640, 19.9454
13660, 19.9454
13680, 19.9454
13700, 19.9454
13720, 19.9454
13740, 19.9454
13760, 19.9454
13780, 19.9454
13800, 19.9454
13820, 19.9454
13840, 19.9454
13860, 19.9454
13880, 19.9454
13900, 19.9454
13920, 19.9454
13940, 19.9454
13960, 19.9454
13980, 19.9454
14000, 19.9454
14020, 19.9454
14040, 19.9454
14060, 19.9454
14080, 19.9454
14100, 19.9454
14120, 19.9454
14140, 19.9454
14160, 19.9454
14180, 19.9454
14200, 19.9454
14220, 19.9454
14240, 19.9454
14260, 19.9454
14280, 19.9454
14300, 19.9454
14320, 19.9454
14340, 19.9454
14360, 19.9454
14380, 19.9454
14400, 19.9454
14420, 19.9454
14440, 19.9454
14460, 19.9454
14480, 19.9454
14500, 19.9454
14520, 19.9454
14540, 19.9454
14560, 19.9454
14580, 19.9454
14600, 19.9454
14620, 19.9454
14640, 19.9454
14660, 19.9454
14680, 19.9454
14700, 19.9454
14720, 19.9454
14740, 19.9454
14760, 19.9454
14780, 19.9454
14800, 19.9454
14820, 19.9454
14840, 19.9454
14860, 19.9454
14880, 19.9454
14900, 19.9454
14920, 19.9454
14940, 19.9454
14960, 19.9454
14980, 19.9454
15000, 19.9454
15020, 19.9454
15040, 19.9454
15060, 19.9454
15080, 19.9454
15100, 19.9454
15120, 19.9454
15140, 19.9454
15160, 19.9454
15180, 19.9454
15200, 19.9454
15220, 19.9454
15240, 19.9454
15260, 19.9454
15280, 19.9454
15300, 19.9454
15320, 19.9454
15340, 19.9454
15360, 19.9454
15380, 19.9454
15400, 19.9454
15420, 19.9454
15440, 19.9454
15460, 19.9454
15480, 19.9454
15500, 19.9454
15520, 19.9454
15540, 19.9454
15560, 19.9454
15580, 19.9454
15600, 19.9454
15620, 19.9454
15640, 19.9454
15660, 19.9454
15680, 19.9454
15700, 19.9454
15720, 19.9454
15740, 19.9454
15760, 19.9454
15780, 19.9454
15800, 19.9454
15820, 19.9454
15840, 19.9454
15860, 19.9454
15880, 19.9454
15900, 19.9454
15920, 19.9454
15940, 19.9454
15960, 19.9454
15980, 19.9454
16000, 19.9454
16020, 19.9454
16040, 19.9454
16060, 19.9454
16080, 19.9454
16100, 19.9454
16120, 19.9454
16140, 19.9454
16160, 19.9454
16180, 19.9454
16200, 19.9454
16220, 19.9454
16240, 19.9454
16260, 19.9454
16280, 19.9454
16300, 19.9454
16320, 19.9454
16340, 19.9454
16360, 19.9454
16380, 19.9454
16400, 19.9454
16420, 19.9454
16440, 19.9454
16460, 19.9454
16480, 19.9454
16500, 19.9454
16520, 19.9454
16540, 19.9454
16560, 19.9454
16580, 19.9454
16600, 19.9454
16620, 19.9454
16640, 19.9454
16660, 19.9454
16680, 19.9454
16700, 19.9454
16720, 19.9454
16740, 19.9454
16760, 19.9454
16780, 19.9454
16800, 19.9454
16820, 19.9454
16840, 19.9454
16860, 19.9454
16880, 19.9454
16900, 19.9454
16920, 19.9454
16940, 19.9454
16960, 19.9454
16980, 19.9454
17000, 19.9454
17020, 19.9454
17040, 19.9454
17060, 19.9454
17080, 19.9454
17100, 19.9454
17120, 19.9454
17140, 19.9454
17160, 19.9454
17180, 19.9454
17200, 19.9454
17220, 19.9454
17240, 19.9454
17260, 19.9454
17280, 19.9454
17300, 19.9454
17320, 19.9454
17340, 19.9454
17360, 19.9454
17380, 19.9454
17400, 19.9454
17420, 19.9454
17440, 19.9454
17460, 19.9454
17480, 19.9454
17500, 19.9454
17520, 19.9454
17540, 19.9454
17560, 19.9454
17580, 19.9454
17600, 19.9454
17620, 19.9454
17640, 19.9454
17660, 19.9454
17680, 19.9454
17700, 19.9454
17720, 19.9454
17740, 19.9454
17760, 19.9454
17780, 19.9454
17800, 19.9454
17820, 19.9454
17840, 19.9454
17860, 19.9454
17880, 19.9454
17900, 19.9454
17920, 19.9454
17940, 19.9454
17960, 19.9454
17980, 19.9454
18000, 19.9454
18020, 19.9454
18040, 19.9454
18060, 19.9454
18080, 19.9454
18100, 19.9454
18120, 19.9454
18140, 19.9454
18160, 19.9454
18180, 19.9454
18200, 19.9454
18220, 19.9454
18240, 19.9454
18260, 19.9454
18280, 19.9454
18300, 19.9454
18320, 19.9454
18340, 19.9454
18360, 19.9454
18380, 19.9454
18400, 19.9454
18420, 19.9454
18440, 19.9454
18460, 19.9454
18480, 19.9454
18500, 19.9454
18520, 19.9454
18540, 19.9454
18560, 19.9454
18580, 19.9454
18600, 19.9454
18620, 19.9454
18640, 19.9454
18660, 19.9454
18680, 19.9454
18700, 19.9454
18720, 19.9454
18740, 19.9454
18760, 19.9454
18780, 19.9454
18800, 19.9454
18820, 19.9454
18840, 19.9454
18860, 19.9454
18880, 19.9454
18900, 19.9454
18920, 19.9454
18940, 19.9454
18960, 19.9454
18980, 19.9454
19000, 19.9454
19020, 19.9454
19040, 19.9454
19060, 19.9454
19080, 19.9454
19100, 19.9454
19120, 19.9454
19140, 19.9454
19160, 19.9454
19180, 19.9454
19200, 19.9454
19220, 19.9454
19240, 19.9454
19260, 19.9454
19280, 19.9454
19300, 19.9454
19320, 19.9454
19340, 19.9454
19360, 19.9454
19380, 19.9454
19400, 19.9454
19420, 19.9454
19440, 19.9454
19460, 19.9454
19480, 19.9454
19500, 19.9454
19520, 19.9454
19540, 19.9454
19560, 19.9454
19580, 19.9454
19600, 19.9454
19620, 19.9454
19640, 19.9454
19660, 19.9454
19680, 19.9454
19700, 19.9454
19720, 19.9454
19740, 19.9454
19760, 19.9454
19780, 19.9454
19800, 19.9454
19820, 19.9454
19840, 19.9454
19860, 19.9454
19880, 19.9454
19900, 19.9454
19920, 19.9454
19940, 19.9454
19960, 19.9454
19980, 19.9454
20000, 19.9454
20020, 19.9454
20040, 19.9454
20060, 19.9454
20080, 19.9454
20100, 19.9454
20120, 19.9454
20140, 19.9454
20160, 19.9454
20180, 19.9454
