frame,pixel
0, -224
1, -226
2, -227
3, -225
4, -226
5, -227
6, -226
7, -226
8, -226
9, -227
10, -228
11, -227
12, -227
13, -228
14, -227
15, -228
16, -227
17, -227
18, -227
19, -227
20, -227
21, -227
22, -228
23, -225
24, -226
25, -227
26, -226
27, -228
28, -226
29, -227
30, -227
31, -228
32, -227
33, -227
34, -228
35, -228
36, -229
37, -229
38, -228
39, -229
40, -230
41, -231
42, -235
43, -242
44, -242
45, -247
46, -251
47, -254
48, -261
49, -263
50, -264
51, -264
52, -265
53, -266
54, -266
55, -268
56, -268
57, -276
58, -284
59, -292
60, -294
61, -294
62, -296
63, -297
64, -297
65, -297
66, -296
67, -292
68, -292
69, -290
70, -290
71, -291
72, -291
73, -290
74, -290
75, -290
76, -290
77, -290
78, -290
79, -290
80, -290
81, -289
82, -289
83, -288
84, -288
85, -287
86, -287
87, -288
88, -287
89, -287
90, -287
91, -287
92, -285
93, -286
94, -286
95, -284
96, -286
97, -285
98, -285
99, -285
100, -285
101, -284
102, -285
103, -285
104, -285
105, -285
106, -284
107, -284
108, -284
109, -285
110, -284
111, -284
112, -283
113, -284
114, -284
115, -284
116, -284
117, -283
118, -283
119, -284
120, -283
121, -284
122, -284
123, -283
124, -283
125, -283
126, -282
127, -282
128, -283
129, -282
130, -282
131, -282
132, -283
133, -282
134, -283
135, -283
136, -283
137, -283
138, -281
139, -283
140, -281
141, -282
142, -281
143, -280
144, -282
145, -281
146, -282
147, -282
148, -283
149, -282
150, -281
151, -281
152, -281
153, -282
154, -281
155, -281
156, -280
157, -282
158, -283
159, -281
160, -282
161, -282
162, -281
163, -280
164, -281
165, -280
166, -280
167, -279
168, -280
169, -279
170, -280
171, -280
172, -281
173, -282
174, -282
175, -283
176, -285
177, -284
178, -286
179, -285
180, -286
181, -286
182, -284
183, -285
184, -286
185, -287
186, -285
187, -286
188, -286
189, -286
190, -285
191, -286
192, -285
193, -287
194, -283
195, -286
196, -287
197, -292
198, -301
199, -311
200, -321
201, -336
202, -345
203, -353
204, -361
205, -370
206, -380
207, -392
208, -405
209, -420
210, -431
211, -446
212, -459
213, -475
214, -495
215, -515
216, -532
