time,cm
20, 10.1356
40, 10.1356
60, 10.1356
80, 10.1356
100, 10.1356
120, 10.1356
140, 10.1356
160, 10.1356
180, 10.1356
200, 10.1356
220, 10.1356
240, 10.1356
260, 10.1356
280, 10.1356
300, 10.1356
320, 10.1356
340, 10.1356
360, 10.1356
380, 10.1356
400, 10.1356
420, 10.1356
440, 10.1356
460, 10.1356
480, 10.1356
500, 10.1356
520, 10.1356
540, 10.1356
560, 10.1356
580, 10.1356
600, 10.1356
620, 10.1356
640, 10.1356
660, 10.1356
680, 10.1356
700, 10.1356
720, 10.1356
740, 10.1356
760, 10.1356
780, 10.1356
800, 10.1356
820, 10.1356
840, 10.1356
860, 10.1356
880, 10.1356
900, 10.1356
920, 10.1356
940, 10.1356
960, 10.1356
980, 10.1356
1000, 10.1356
1020, 10.1356
1040, 10.1356
1060, 10.1356
1080, 10.1356
1100, 10.1356
1120, 10.1356
1140, 10.1356
1160, 10.1356
1180, 10.1356
1200, 10.1356
1220, 10.1356
1240, 10.1356
1260, 10.1356
1280, 10.1356
1300, 10.1356
1320, 10.1356
1340, 10.1356
1360, 10.1356
1380, 10.1356
1400, 10.1356
1420, 10.1356
1440, 10.1356
1460, 10.1356
1480, 10.1356
1500, 10.1356
1520, 10.1356
1540, 10.1356
1560, 10.1356
1580, 10.1356
1600, 10.1356
1620, 10.1356
1640, 10.1356
1660, 10.1356
1680, 10.1356
1700, 10.1356
1720, 10.1356
1740, 10.1356
1760, 10.1356
1780, 10.1356
1800, 10.1356
1820, 10.1356
1840, 10.1356
1860, 10.1356
1880, 10.1356
1900, 10.1356
1920, 10.1356
1940, 10.1356
1960, 10.1356
1980, 10.1356
2000, 10.1356
2020, 10.1356
2040, 10.1356
2060, 10.1356
2080, 10.1356
2100, 10.1356
2120, 10.1356
2140, 10.1356
2160, 10.1356
2180, 10.1356
2200, 10.1356
2220, 10.1356
2240, 10.1356
2260, 10.1356
2280, 10.1356
2300, 10.5987
2320, 10.6501
2340, 10.1871
2360, 10.1871
2380, 10.1871
2400, 10.6501
2420, 10.5987
2440, 10.5987
2460, 10.5987
2480, 10.1871
2500, 10.1871
2520, 10.1871
2540, 10.1871
2560, 10.1871
2580, 10.1871
2600, 10.1871
2620, 10.1871
2640, 10.5987
2660, 10.5987
2680, 10.1871
2700, 10.1871
2720, 10.6501
2740, 10.7016
2760, 10.3929
2780, 10.5472
2800, 10.8045
2820, 11.0617
2840, 11.3190
2860, 11.9707
2880, 11.7649
2900, 11.9707
2920, 12.5881
2940, 12.7253
2960, 12.4337
2980, 12.5881
3000, 12.7424
3020, 12.8796
3040, 13.0511
3060, 13.1369
3080, 13.6514
3100, 13.7543
3120, 13.4456
3140, 13.5485
3160, 14.0458
3180, 14.2173
3200, 13.9086
3220, 14.0458
3240, 14.6632
3260, 14.8176
3280, 14.5603
3300, 15.1777
3320, 15.3835
3340, 15.1777
3360, 15.8294
3380, 16.0867
3400, 15.9495
3420, 16.1896
3440, 16.9099
3460, 16.7555
3480, 17.4587
3500, 17.3215
3520, 18.0247
3540, 17.8703
3560, 18.1275
3580, 18.3848
3600, 18.5906
3620, 19.2423
3640, 19.0022
3660, 19.2080
3680, 19.8083
3700, 20.0140
3720, 19.7568
3740, 20.3742
3760, 20.5800
3780, 20.3742
