time;truth;sensor;kalman
0;13,2415;13,2741;13,1844
20;13,2415;13,2741;13,2295
40;13,2415;13,2741;13,245
60;13,2415;13,2912;13,2578
80;13,2415;13,7371;13,3645
100;13,2415;13,3255;13,3619
120;13,2604;13,3255;13,3598
140;13,2604;13,3255;13,3578
160;13,2604;13,3255;13,3556
180;13,2415;13,3255;13,3531
200;13,2415;13,3427;13,3536
220;13,2604;13,3255;13,3502
240;13,2415;13,3255;13,3466
260;13,2415;13,3255;13,3429
280;13,2415;13,3255;13,3394
300;13,2415;13,377;13,3474
320;13,2604;13,377;13,3546
340;13,2604;13,377;13,361
360;13,2604;13,3941;13,3705
380;13,2604;13,377;13,3745
400;13,2604;13,377;13,3777
420;13,2792;13,377;13,3802
440;13,2792;13,377;13,3819
460;13,2792;13,377;13,3831
480;13,2604;13,377;13,3837
500;13,2604;13,377;13,384
520;13,2792;13,377;13,3839
540;13,2792;13,377;13,3835
560;13,2792;13,377;13,3829
580;13,2792;13,377;13,3822
600;13,2792;13,377;13,3814
620;13,2604;13,377;13,3806
640;13,2792;13,377;13,3797
660;13,2792;13,377;13,3789
680;13,2604;13,377;13,378
700;13,2604;13,4284;13,3903
720;13,2604;13,4284;13,4008
740;13,2604;13,4284;13,4097
760;13,2604;13,4284;13,417
780;13,2604;13,4284;13,4231
800;13,2604;13,4284;13,4279
820;13,2981;13,4284;13,4317
840;13,2604;13,4284;13,4346
860;13,2604;13,4284;13,4366
880;13,2981;13,4284;13,4379
900;13,2981;13,4284;13,4387
920;13,2792;13,4284;13,4389
940;13,2981;13,4284;13,4388
960;13,2981;13,4284;13,4383
980;13,317;13,4456;13,4418
1000;13,317;13,4456;13,4446
1020;13,2792;13,4284;13,4424
1040;13,2981;13,84;13,544
1060;13,2981;13,84;13,6311
1080;13,2792;13,84;13,7049
1100;13,2792;13,377;13,6498
1120;13,2792;13,377;13,5998
1140;13,2604;13,3941;13,5592
1160;13,2604;13,377;13,5186
1180;13,2792;13,3941;13,4871
1200;13,2792;13,377;13,4552
1220;13,2981;13,377;13,4277
1240;13,2981;13,377;13,4042
1260;13,2981;13,377;13,3846
1280;13,2981;13,377;13,3684
1300;13,2981;13,377;13,3555
1320;13,2792;13,377;13,3455
1340;13,2981;13,377;13,3382
1360;13,2981;13,3941;13,3374
1380;13,2981;13,377;13,3338
1400;13,2981;13,377;13,332
1420;13,317;13,3941;13,336
1440;13,2792;13,377;13,3364
1460;13,2792;13,377;13,3379
1480;13,2604;13,377;13,3402
1500;13,2604;13,377;13,3432
1520;13,2981;13,377;13,3466
1540;13,2792;13,377;13,3504
1560;13,2792;13,377;13,3543
1580;13,2792;13,377;13,3583
1600;13,2792;13,84;13,479
1620;13,2981;13,4284;13,4795
1640;13,317;13,4284;13,4791
1660;13,317;13,4284;13,478
1680;13,2981;13,4284;13,4764
1700;13,2981;13,4284;13,4741
1720;13,317;13,4284;13,4714
1740;13,317;13,4284;13,4684
1760;13,317;13,84;13,5689
1780;13,3358;13,377;13,538
1800;13,3358;13,377;13,5098
1820;13,317;13,377;13,4844
1840;13,3358;13,377;13,4617
1860;13,3358;13,377;13,4415
1880;13,317;13,3941;13,4281
1900;13,317;13,3255;13,3991
1920;13,317;13,3255;13,3742
1940;13,2981;13,7371;13,4569
1960;13,2981;13,2741;13,4118
1980;13,2792;13,2912;13,3772
2000;13,2792;13,2912;13,3476
2020;13,2792;13,2741;13,3184
2040;13,2604;13,2741;13,2942
2060;13,2604;13,2741;13,2743
2080;13,2226;13,2741;13,2586
2100;13,2226;13,2741;13,2464
2120;13,2415;13,2741;13,2375
2140;13,2038;13,2741;13,2314
2160;13,2038;13,2226;13,2147
2180;13,2226;13,2226;13,2019
2200;13,2226;13,2226;13,1925
2220;13,2038;13,2226;13,1861
2240;13,2038;13,2398;13,1866
2260;13,2038;13,2398;13,1886
2280;13,2415;13,2226;13,1874
2300;13,2415;13,2398;13,1922
2320;13,2226;13,2226;13,1932
2340;13,2038;13,2226;13,1952
2360;13,2038;13,2226;13,1979
2380;13,1849;13,2226;13,2012
2400;13,1849;13,2398;13,2091
2420;13,2226;13,2226;13,2123
2440;13,2038;13,2226;13,2155
2460;13,2038;13,2398;13,2231
2480;13,2038;13,2226;13,2256
2500;13,2038;13,2226;13,2279
2520;13,2038;13,2226;13,23
2540;13,2226;13,2226;13,2318
2560;13,2226;13,2398;13,2377
2580;13,2038;13,2398;13,2427
2600;13,2038;13,2226;13,2425
2620;13,2226;13,2398;13,2465
2640;13,1849;13,2226;13,2453
2660;13,1849;13,1883;13,2353
2680;13,2604;13,1883;13,2265
2700;13,2604;13,0854;13,1927
2720;13,2038;13,0168;13,1462
2740;13,1849;12,9311;13,0848
2760;13,1849;12,8282;13,0067
2780;13,0906;12,6738;12,9016
2800;13,0906;12,5709;12,7872
2820;12,9208;12,4166;12,6525
2840;12,7321;12,2622;12,5013
2860;12,7321;12,1593;12,3501
2880;12,5434;11,6105;12,0877
2900;12,5434;11,9535;11,9555
2920;12,2604;11,8506;11,825
2940;12,0906;11,7649;11,7012
2960;12,0906;11,6448;11,5753
2980;11,9396;11,5419;11,4525
3000;11,9396;11,4047;11,3242
3020;11,7887;11,3018;11,2005
3040;11,6189;11,1475;11,0683
3060;11,6189;10,9931;10,929
3080;11,4302;10,8388;10,7841
3100;11,4302;10,6844;10,6348
3120;11,2038;10,5301;10,4823
3140;10,9585;9,9641;10,2235
3160;10,9585;10,29;10,0987
3180;10,6755;9,6726;9,8526
3200;10,6755;9,5182;9,6189
3220;10,4679;9,7755;9,501
3240;10,1849;9,261;9,2888
3260;10,1849;9,3639;9,1512
3280;9,9396;9,2095;9,0135
3300;9,9396;8,5578;8,7503
3320;9,6377;8,352;8,4914
3340;9,2604;8,6093;8,3541
3360;9,2604;7,9404;8,0886
3380;8,883;7,7346;7,8296
3400;8,883;7,5803;7,5899
3420;8,5623;7,889;7,4845
3440;8,2226;7,2887;7,2658
3460;8,2226;7,5974;7,1784
3480;7,9396;7,546;7,1134
3500;7,9396;7,426;7,0494
3520;7,7698;7,3916;7,0069
3540;7,6;7,2373;6,9514
3560;7,6;7,083;6,8836
3580;7,5434;6,9286;6,8039
3600;7,5434;6,7743;6,7131
3620;7,3925;6,6199;6,612
3640;7,1094;6,517;6,5141
3660;7,1094;6,3626;6,4056
3680;6,883;6,2769;6,3048
3700;6,883;6,1226;6,1928
3720;6,6755;5,951;6,0664
3740;6,4679;5,8653;5,9491
3760;6,4679;5,2993;5,7183
3780;6,2226;5,1964;5,5064
3800;6,2226;5,5051;5,4156
3820;6,0151;5,4022;5,3258
3840;5,8453;5,2479;5,2235
3860;5,8453;5,0935;5,1102
3880;5,6;4,5276;4,8832
3900;5,6;4,9049;4,7963
3920;5,3547;4,7334;4,6924
3940;5,166;4,1332;4,4653
3960;5,166;4,0303;4,2576
3980;4,9774;4,3904;4,1841
4000;4,9774;4,2875;4,1102
4020;4,7887;3,7216;3,9185
4040;4,5623;3,7216;3,7679
4060;4,5623;3,6701;3,6401
4080;4,4302;3,6187;3,5322
4100;4,4302;4,0817;3,571
4120;4,3925;3,6187;3,5025
4140;4,3547;3,6187;3,4568
4160;4,3547;4,116;3,5556
4180;4,2981;3,6701;3,5401
4200;4,2981;4,2361;3,6796
4220;4,2792;3,8759;3,7179
4240;4,3547;4,0303;3,7966
4260;4,3547;4,1332;3,8959
4280;4,4491;4,7849;4,1497
4300;4,4491;4,4762;4,2926
4320;4,6943;5,1964;4,5965
4340;4,9396;4,8878;4,7778
4360;4,9396;5,5394;5,0924
4380;5,2981;5,8138;5,4248
4400;5,2981;6,0025;5,7478
4420;5,6377;5,7624;5,9515
4440;6,034;6,4141;6,2749
4460;6,034;6,6199;6,5872
4480;6,3925;6,9286;6,9135
4500;6,3925;7,2202;7,2453
4520;6,6943;7,5289;7,5842
4540;7,0717;7,8375;7,9271
4560;7,0717;8,1977;8,2845
4580;7,5811;8,5578;8,6527
4600;7,5811;8,8665;9,0154
4620;8,1283;9,2095;9,3803
4640;8,7132;9,3639;9,6982
4660;8,7132;9,6726;10,0131
4680;9,2226;9,5182;10,2079
4700;9,2226;10,29;10,5323
4720;9,6566;10,5301;10,8346
4740;10,1094;10,7873;11,1218
4760;10,1094;11,0446;11,3957
4780;10,5623;11,2504;11,6452
4800;10,5623;11,4905;11,8825
4820;11,0151;11,6963;12,101
4840;11,3925;11,5076;12,2046
4860;11,3925;12,1593;12,422
4880;11,7509;12,3651;12,6266
4900;11,7509;12,5709;12,821
4920;12,0906;12,7767;13,0075
4940;12,4302;12,9654;13,1839
4960;12,4302;13,1712;13,3569
4980;12,7509;13,7886;13,6318
5000;12,7509;13,5313;13,7748
5020;13,0906;14,0973;14,012
5040;13,3925;14,2516;14,2277
5060;13,3925;13,9429;14,3085
5080;13,6566;14,0458;14,3774
5100;13,6566;14,0973;14,4248
5120;13,8642;14,2002;14,4684
5140;14,0528;14,7147;14,6143
5160;14,0528;14,3545;14,6294
5180;14,1472;14,406;14,6365
5200;14,1472;14,4574;14,6386
5220;14,2792;14,5603;14,6512
5240;14,3736;14,6118;14,6616
5260;14,3736;14,6461;14,6674
5280;14,5057;14,7147;14,6793
5300;14,5057;15,1606;14,7929
5320;14,6;14,7661;14,7835
5340;14,6377;14,8004;14,7766
5360;14,6377;14,8004;14,7643
5380;14,6755;15,2635;14,8654
5400;14,6755;15,2635;14,9483
5420;14,7509;15,2635;15,0155
5440;14,7321;14,8004;14,9525
5460;14,7321;14,8004;14,8943
5480;14,7321;14,8176;14,846
5500;14,7321;15,212;14,9023
5520;14,7321;14,749;14,8334
5540;14,7132;14,6975;14,7606
5560;14,7132;15,1091;14,8021
5580;14,6943;14,6461;14,7226
5600;14,6943;15,0062;14,7462
5620;14,6566;14,9548;14,7559
5640;14,5811;14,4574;14,641
5660;14,5811;14,406;14,5314
5680;14,4491;14,3374;14,4232
5700;14,4491;14,2516;14,3129
5720;14,3925;14,6118;14,3141
5740;14,2604;14,0973;14,1917
5760;14,2604;13,9429;14,0535
5780;14,166;13,7886;13,9026
5800;14,166;13,5828;13,7289
5820;13,9962;13,4284;13,5496
5840;13,7509;13,2741;13,3666
5860;13,7509;13,0168;13,1556
5880;13,4491;12,811;12,9348
5900;13,4491;12,5709;12,6981
5920;13,166;12,4166;12,4708
5940;12,8075;12,2622;12,2528
5960;12,8075;12,0564;12,0311
5980;12,4679;11,9021;11,8203
6000;12,4679;11,6963;11,6068
6020;12,2226;11,5419;11,4049
6040;11,9396;11,3361;11,2005
6060;11,9396;11,1475;10,9991
6080;11,6755;10,8902;10,7834
6100;11,6755;10,6844;10,5688
6120;11,4113;10,4786;10,3556
6140;11,0528;10,3414;10,1614
6160;11,0528;10,1699;9,9752
6180;10,7321;9,5182;9,6749
6200;10,7321;9,3296;9,3933
6220;10,4679;9,4668;9,211
6240;10,1283;8,9008;8,9375
6260;10,1283;9,1752;8,7973
6280;9,7321;8,9523;8,647
6300;9,7321;8,7636;8,4961
6320;9,3736;8,0948;8,223
6340;9,034;8,352;8,0777
6360;9,034;8,1977;7,9392
6380;8,6943;8,0433;7,8059
6400;8,6943;7,8375;7,6633
6420;8,3736;7,6318;7,5121
6440;8,1094;7,426;7,3528
6460;8,1094;7,2373;7,1904
6480;7,7887;7,083;7,0334
6500;7,7887;6,8772;6,8678
6520;7,5245;6,6714;6,6943
6540;7,2415;6,4656;6,5137
6560;7,2415;6,2769;6,3312
6580;6,9208;6,0539;6,1381
6600;6,9208;5,9168;5,9576
6620;6,5245;5,2993;5,6667
6640;6,2604;5,1964;5,4106
6660;6,2604;5,5566;5,302
6680;6,1283;5,4022;5,1913
6700;6,1283;5,1964;5,065
6720;5,9962;4,5962;4,8252
6740;5,7321;4,4418;4,5995
6760;5,7321;4,6991;4,4904
6780;5,4868;4,5791;4,3867
6800;5,4868;3,9788;4,1659
6820;5,2604;4,339;4,0859
6840;5,0528;4,2361;4,0106
