time,travel_time
23, 3421
46, 3421
69, 3397
92, 3421
115, 3421
138, 3397
161, 3421
184, 3396
207, 3373
230, 3421
253, 3397
276, 3421
300, 3397
323, 3396
346, 3373
369, 3372
392, 3373
415, 3421
438, 3421
461, 3421
484, 3421
507, 3420
530, 3421
553, 3372
576, 3397
600, 3396
623, 3396
646, 3397
669, 3373
692, 3396
715, 3397
738, 3421
761, 3421
784, 3397
807, 3373
830, 3397
854, 3397
877, 3421
900, 3421
923, 3397
946, 3421
969, 3421
992, 3420
1015, 3420
1038, 3420
1061, 3420
1084, 3420
1107, 3421
1130, 3421
1154, 3421
1177, 3421
1200, 3421
1223, 3421
1246, 3420
1269, 3421
1292, 3420
1315, 3421
1338, 3421
1361, 3420
1384, 3421
1408, 3421
1431, 3421
1454, 3420
1477, 3421
1500, 3420
1523, 3420
1546, 3420
1569, 3420
1592, 3420
1615, 3397
1638, 3420
1661, 3421
1684, 3421
1708, 3373
1731, 3397
1754, 3397
1777, 3421
1800, 3373
1823, 3397
1846, 3421
1869, 3421
1892, 3421
1915, 3397
1938, 3397
1961, 3397
1984, 3421
2008, 3421
2031, 3397
2054, 3397
2077, 3373
2100, 3397
2123, 3397
2146, 3397
2169, 3373
2192, 3397
2215, 3373
2238, 3397
2262, 3397
2285, 3373
2308, 3421
2331, 3373
2354, 3397
2377, 3397
2400, 3397
2423, 3373
2446, 3373
2469, 3373
2492, 3373
2515, 3373
2538, 3373
2562, 3373
2585, 3373
2608, 3373
2631, 3373
2654, 3373
2677, 3373
2700, 3374
2723, 3373
2746, 3397
2769, 3397
2792, 3421
2816, 3397
2839, 3397
2862, 3421
2885, 3397
2908, 3397
2931, 3374
2954, 3373
2977, 3397
3000, 3397
3023, 3373
3046, 3398
3069, 3373
3092, 3397
3116, 3397
3139, 3373
3162, 3373
3185, 3397
3208, 3397
3231, 3397
3254, 3374
3277, 3373
3300, 3373
3323, 3373
3346, 3373
3369, 3374
3392, 3373
3416, 3373
3439, 3373
3462, 3373
3485, 3373
3508, 3373
3531, 3373
3554, 3373
3577, 3373
3600, 3373
3623, 3373
3646, 3373
3670, 3373
3693, 3373
3716, 3373
3739, 3373
3762, 3373
3785, 3374
3808, 3373
3831, 3373
3854, 3373
3877, 3373
3900, 3373
3923, 3373
3946, 3374
3970, 3397
3993, 3373
4016, 3397
4039, 3397
4062, 3373
4085, 3421
4108, 3421
4131, 3397
4154, 3397
4177, 3397
4200, 3397
4224, 3397
4247, 3373
4270, 3421
4293, 3421
4316, 3421
4339, 3421
4362, 3421
4385, 3421
4408, 3421
4431, 3397
4454, 3421
4477, 3396
4500, 3421
4524, 3420
4547, 3373
4570, 3373
4593, 3373
