time,cm
20, 9.3414
40, 9.3414
60, 9.3414
80, 9.3414
100, 9.3414
120, 9.3414
140, 9.3414
160, 9.3414
180, 9.3414
200, 9.3414
220, 9.3414
240, 9.3414
260, 9.3414
280, 9.3414
300, 9.3414
320, 9.3414
340, 9.3414
360, 9.3414
380, 9.2743
400, 9.3414
420, 9.3414
440, 9.3414
460, 9.3414
480, 9.3414
500, 9.3414
520, 9.2743
540, 9.2743
560, 9.2743
580, 9.2743
600, 9.2743
620, 9.2743
640, 9.3414
660, 9.3414
680, 9.3414
700, 9.3414
720, 9.2743
740, 9.2743
760, 9.3414
780, 9.2743
800, 9.3414
820, 9.3414
840, 9.2743
860, 9.2743
880, 9.2743
900, 9.2743
920, 9.2743
940, 9.3414
960, 9.2743
980, 9.3414
1000, 9.3414
1020, 9.2743
1040, 9.2743
1060, 9.2743
1080, 9.2743
1100, 9.3414
1120, 9.2743
1140, 9.3414
1160, 9.3414
1180, 9.2743
1200, 9.2743
1220, 9.2743
1240, 9.2743
1260, 9.3414
1280, 9.2743
1300, 9.3414
1320, 9.3414
1340, 9.2743
1360, 9.2743
1380, 9.2743
1400, 9.2743
1420, 9.2743
1440, 9.2743
1460, 9.2743
1480, 9.2743
1500, 9.2743
1520, 9.2743
1540, 9.2743
1560, 9.2743
1580, 9.2743
1600, 9.2743
1620, 9.2743
1640, 9.2743
1660, 9.2743
1680, 9.2743
1700, 9.3414
1720, 9.2743
1740, 9.2743
1760, 9.2743
1780, 9.3414
1800, 9.3414
1820, 9.3414
1840, 9.3414
1860, 9.3414
1880, 9.3414
1900, 9.3414
1920, 9.3414
1940, 9.4086
1960, 9.4086
1980, 9.4086
2000, 9.4758
2020, 9.543
2040, 9.6774
2060, 9.6774
2080, 9.7447
2100, 9.812
2120, 9.9466
2140, 10.0139
2160, 10.1486
2180, 10.2835
2200, 10.4183
2220, 10.5533
2240, 10.8235
2260, 11.0263
2280, 11.2971
2300, 11.6359
2320, 11.9753
2340, 12.3152
2360, 12.7237
2380, 13.1329
2400, 13.6796
2420, 14.1591
2440, 14.7083
2460, 15.2588
2480, 15.8537
2500, 16.239
2520, 16.7516
2540, 17.1991
2560, 17.582
2580, 18.0278
2600, 18.4727
2620, 18.8534
2640, 19.2333
2660, 19.6126
2680, 19.9281
2700, 20.2432
2720, 20.495
2740, 20.7464
2760, 20.9976
2780, 21.3111
2800, 21.5616
2820, 21.8743
2840, 22.1242
2860, 22.3737
2880, 22.5607
2900, 22.6852
2920, 22.8097
2940, 22.9341
2960, 22.9963
2980, 23.0584
3000, 23.1827
3020, 23.1827
3040, 23.2448
3060, 23.3069
3080, 23.3069
3100, 23.369
3120, 23.369
3140, 23.369
3160, 23.3069
3180, 23.2448
3200, 23.1206
3220, 23.0584
3240, 22.8719
3260, 22.6852
3280, 22.436
3300, 22.1242
3320, 21.7493
3340, 21.3111
3360, 20.872
3380, 20.3691
3400, 19.9281
3420, 19.4862
3440, 18.9801
3460, 18.4727
3480, 18.0278
3500, 17.6458
3520, 17.263
3540, 16.8796
3560, 16.5595
3580, 16.1748
3600, 15.7895
3620, 15.4655
3640, 14.9834
3660, 14.7083
3680, 14.2963
3700, 13.9535
3720, 13.6112
3740, 13.2694
3760, 12.9282
3780, 12.5874
3800, 12.2471
3820, 11.9074
3840, 11.5681
3860, 11.2294
3880, 10.8911
3900, 10.4858
3920, 10.0813
3940, 9.7447
3960, 9.4086
3980, 9.0059
4000, 8.604
4020, 8.2695
4040, 7.8689
4060, 7.6021
4080, 7.3357
4100, 7.0696
4120, 6.8038
4140, 6.5383
4160, 6.3394
4180, 6.0745
4200, 5.876
4220, 5.6115
4240, 5.4134
4260, 5.2155
4280, 5.0177
4300, 4.8201
4320, 4.6227
4340, 4.557
4360, 4.4912
4380, 4.4255
4400, 4.4912
4420, 4.557
4440, 4.6227
4460, 4.6227
4480, 4.6885
4500, 4.6885
4520, 4.6885
4540, 4.6885
4560, 4.7543
4580, 4.7543
4600, 4.8201
4620, 4.886
4640, 4.9519
4660, 5.0836
4680, 5.2155
4700, 5.4134
4720, 5.6776
4740, 5.9421
4760, 6.1407
4780, 6.4057
4800, 6.7374
4820, 7.0031
4840, 7.3357
4860, 7.6688
4880, 8.0023
4900, 8.4032
4920, 8.8048
4940, 9.2072
4960, 9.6774
4980, 10.1486
5000, 10.7559
5020, 11.1617
